type,amount,newbalanceOrig,newbalanceDest,isFraud
0,122180.26,171800.26,2652855.74,0
0,53704.14,6483837.91,393.25,0
0,226688.65,616813.15,878046.49,0
1,43925.15,0.0,1246685.62,0
1,192452.74,0.0,424616.67,0
1,73407.22,0.0,181162.73,0
1,82927.39,0.0,517649.61,0
0,81826.01,1787473.4,1582851.83,0
1,248717.48,0.0,248717.48,0
1,16299.57,0.0,1052123.5,0
0,330916.23,1304035.36,1004371.94,0
0,333212.5,347892.5,145472.69,0
0,109752.61,533586.38,864350.01,0
1,345181.04,0.0,3859819.45,0
0,76538.52,3844080.77,1028740.49,0
0,206429.67,13836426.53,196519.87,0
1,161562.53,0.0,161562.53,0
1,33480.96,0.0,1384483.76,0
3,927683.75,0.0,4898391.5,0
0,125882.35,1948221.99,1178796.7,0
3,410293.76,0.0,602537.42,0
0,135471.35,5296464.09,101406.34,0
1,77972.6,0.0,306296.8,0
1,77292.16,0.0,983710.23,0
1,72178.07,0.0,72178.07,0
1,296517.85,0.0,296517.85,0
1,135601.31,0.0,2840685.51,0
1,241641.06,0.0,503358.27,0
1,283437.96,0.0,4904853.91,0
0,74760.57,7480844.31,743919.6,0
3,612388.81,0.0,3683510.22,0
0,50549.46,619337.3,5430896.05,0
0,262217.48,6396271.97,372436.82,0
0,132640.19,7586426.5,210816.8,0
1,4165.36,0.0,110248.06,0
0,38787.43,2848867.45,544510.91,0
1,261166.79,0.0,5107134.5,0
0,86445.35,11868075.56,1828571.73,0
1,178780.75,0.0,553979.21,0
1,72010.51,0.0,214723.6,0
3,144260.38,0.0,637557.57,0
1,14054.33,526928.1,621415.11,0
0,65622.64,15687399.69,3742509.76,0
1,280065.86,0.0,1427017.95,0
1,63360.7,39359.3,924868.81,0
1,57892.7,0.0,1581736.0,0
0,345119.86,3174497.37,1659919.73,0
0,192728.71,977078.11,320110.48,0
1,120543.55,0.0,423727.81,0
1,250759.83,0.0,1887691.89,0
1,11965.22,0.0,575613.43,0
1,599777.58,0.0,2036623.17,0
1,374971.22,0.0,1078417.67,0
3,701368.12,0.0,3080913.98,0
1,367498.16,0.0,391195.41,0
0,35120.72,118347.72,173613.63,0
0,134024.68,508383.53,962590.97,0
0,93998.73,2362537.84,354754.15,0
0,17493.32,15924324.34,42092.22,0
0,197948.66,2472478.51,13392572.55,0
2,1644.21,0.0,80241.08,0
1,62792.09,40433.91,410373.39,0
0,206062.95,786318.57,1105981.58,0
1,266464.08,0.0,785132.8,0
0,235551.35,1437679.14,322741.62,0
1,87718.52,0.0,267178.58,0
1,178589.6,0.0,843364.1,0
1,463344.14,0.0,1036781.02,0
1,404643.12,0.0,2164775.09,0
1,9551.51,0.0,1666961.79,0
1,78069.13,0.0,803670.74,0
0,95378.84,1347409.51,2191362.28,0
1,43511.38,0.0,574391.72,0
0,119121.06,7170326.2,589772.1,0
1,91398.11,0.0,296240.49,0
0,76380.39,1432320.25,11850436.25,0
0,251599.53,3170098.58,11621153.94,0
1,118378.34,0.0,494744.31,0
1,96845.72,0.0,2363616.81,0
1,78492.23,0.0,242815.08,0
0,53121.46,4037392.34,1624094.1,0
2,5443.85,0.0,515926.62,0
1,1918.63,0.0,41857.63,0
1,503115.05,0.0,594376.74,0
3,173749.18,0.0,396517.85,0
1,24923.88,0.0,1166275.42,0
1,94928.63,0.0,673371.19,0
1,323079.13,210697.34,359390.57,0
1,28439.66,0.0,273369.53,0
1,75965.71,0.0,3649237.78,0
1,315754.94,0.0,1478131.95,0
0,44251.05,28105910.37,1266125.45,0
1,49160.85,796208.15,49160.85,0
1,214338.8,0.0,527977.79,0
1,365625.83,0.0,2459131.28,0
1,92306.92,0.0,503435.88,0
1,545770.37,0.0,602131.92,0
1,350461.15,0.0,1031226.63,0
1,83366.47,0.0,407542.24,0
0,221498.93,5460621.57,1516224.52,0
0,160351.65,5826777.28,6791438.97,0
1,10193.92,13844.97,22528.22,0
0,193034.3,4134013.27,1596533.05,0
1,187763.87,0.0,1164949.76,0
1,156280.14,27621.17,847122.49,0
1,118496.45,0.0,3666108.43,0
1,66299.96,0.0,2867800.73,0
0,61107.24,5940063.64,435934.4,0
0,62746.46,1269921.3,1687119.0,0
1,117580.31,0.0,1411469.11,0
1,310206.24,0.0,1125486.59,0
0,241086.17,17181815.91,322824.75,0
3,769328.51,0.0,805294.76,0
1,168755.65,0.0,1003938.77,0
0,35448.71,87506.71,5970074.44,0
1,161143.73,0.0,4285198.07,0
1,201705.24,0.0,7053127.23,0
3,985405.41,0.0,1108802.97,0
1,87364.69,0.0,1875054.32,0
0,74011.04,74011.04,206614.18,0
3,1159214.07,0.0,1159214.07,0
1,252156.54,0.0,844757.17,0
1,34820.7,7324.3,5341084.36,0
1,236983.01,0.0,556473.16,0
1,34602.76,240022.24,623747.32,0
1,143254.77,0.0,292466.71,0
1,117870.19,0.0,117870.19,0
3,915862.46,0.0,3147623.37,0
0,138443.72,5300680.98,151555.63,0
1,133723.78,0.0,575261.76,0
0,280624.26,1833896.78,729700.79,0
0,61014.53,10305859.07,538545.11,0
1,139017.83,0.0,754224.2,0
0,104130.46,326453.46,1160720.87,0
1,72737.05,0.0,172192.25,0
0,92982.2,100032.3,249120.7,0
0,13053.94,6987605.01,1967964.22,0
1,140764.2,0.0,365073.19,0
1,417525.19,0.0,1036893.76,0
1,1241.57,0.0,1241.57,0
1,362988.88,0.0,4087290.2,0
1,97771.23,0.0,4861702.48,0
1,37773.03,0.0,168372.55,0
0,71572.35,6221600.15,935442.32,0
1,385256.64,0.0,1404467.81,0
1,44789.0,60119.0,654490.47,0
0,252933.42,1357024.9,149571.02,0
0,141528.54,1156161.86,850534.55,0
1,254600.19,0.0,3103046.97,0
1,56194.83,0.0,908105.84,0
1,492244.36,0.0,6394906.54,0
3,918444.95,0.0,2882965.45,0
3,721458.64,0.0,1748436.14,0
1,176601.83,0.0,2580223.09,0
1,108031.88,0.0,183269.79,0
3,131998.64,0.0,781094.25,0
0,106174.78,2078053.0,72203.91,0
1,201748.98,355600.02,357796.88,0
1,173455.55,140353.45,421935.97,0
1,151720.16,0.0,1227948.57,0
1,149420.06,0.0,989398.02,0
0,18267.25,4953383.8,22466.69,0
1,156764.93,0.0,1304013.65,0
1,105776.87,0.0,1341941.45,0
1,151884.36,181034.38,3797901.44,0
3,102151.78,0.0,307295.44,0
1,116710.71,0.0,128281.32,0
1,340294.96,0.0,929539.11,0
1,378580.49,0.0,553900.13,0
0,49867.15,68208.15,533326.63,0
0,2419.26,23333524.93,56355.77,0
1,175356.86,0.0,2434964.91,0
0,263444.22,371382.22,4051099.9,0
1,81367.16,0.0,3759490.54,0
1,29146.69,0.0,161139.59,0
1,149327.78,0.0,2411617.39,0
1,55907.63,9752.37,772863.24,0
3,228991.39,0.0,643228.07,0
3,1362594.95,0.0,2801983.68,0
